	AAPL	COST	HIMS	RTX	SPY	TSLA
AAPL	0.0036267307145084644	0.0010491136333057511	0.0001818898975624538	-0.0006344871373483158	0.0008322131930694737	0.003254497842118013
COST	0.0010491136333057511	0.00405511012980209	0.010877252117441541	-0.00022951913529473917	0.001340102916341065	0.0017540727067300247
HIMS	0.0001818898975624538	0.010877252117441541	0.11031471471586969	0.0029146824097607315	0.007739356952700072	0.021574949160225412
RTX	-0.0006344871373483158	-0.00022951913529473917	0.0029146824097607315	0.0036518234692111636	0.0001971635517578513	-0.003152491660070837
SPY	0.0008322131930694737	0.001340102916341065	0.007739356952700072	0.0001971635517578513	0.0012923190462978517	0.002420863282316472
TSLA	0.003254497842118013	0.0017540727067300247	0.021574949160225412	-0.003152491660070837	0.002420863282316472	0.02670344538480391
