	asset	allocation
0	AAPL	0.16975315011428416
1	COST	0.016919493036212555
2	HIMS	-5.140811877779426e-19
3	RTX	0.2563299889866885
4	SPY	0.5569973678628148
5	TSLA	-3.737099890013726e-19
