index	return	risk	AAPL	COST	HIMS	RTX	SPY	TSLA
0	0.02392334449993329	0.030566352600999557	0.16975315011426736	0.01691949303620156	2.23766191383931e-19	0.25632998898668863	0.5569973678628425	-1.1414971348220814e-20
1	0.025019930293931316	0.030740388373723063	0.159839608570206	0.047752338434449225	2.0387973724174757e-19	0.30044790479945716	0.4878482358416778	0.004111912354209734
2	0.026116516087929344	0.03118503575833341	0.1495609695213334	0.0757150289252229	1.628249583280488e-19	0.3432555588484742	0.4159178484794149	0.015550594225554642
3	0.027213101881927368	0.03186735225409705	0.13928233047246077	0.10367771941599656	1.2177517412207853e-19	0.3860632128974913	0.3439874611171518	0.026989276096899568
4	0.028309687675925396	0.032772496558575476	0.12900369142358817	0.1316404099067705	8.073228512440614e-20	0.4288708669465086	0.2720570737548881	0.03842795796824456
5	0.029406273469923423	0.033882615427884906	0.11872505237471549	0.15960310039754436	3.9693494940736846e-20	0.4716785209955258	0.20012668639262485	0.049866639839589506
6	0.03050285926392145	0.03517830911716782	0.10844641332584289	0.18756579088831807	-1.3596351382929403e-21	0.5144861750445429	0.1281962990303617	0.06130532171093443
7	0.03159944505791948	0.03659998785215518	0.11511130731449813	0.19649003777297175	0.004936169461862013	0.5402097724721969	0.07877996753605335	0.06447274544241785
8	0.0326960308519175	0.03807730477496181	0.12369939364146401	0.20325330744021305	0.010432623680664515	0.5639942272943117	0.03191911603836216	0.06670133190498465
9	0.033792616645915534	0.03960716835287337	0.12756269988417476	0.20333176009355453	0.01665667448460746	0.5850209740446202	6.255739956972672e-23	0.067427891493043
10	0.03488920243991356	0.04123266921294426	0.12133274726980306	0.18912984681867273	0.024435045393696578	0.6001565976263055	1.1306082958085212e-22	0.06494576289152225
11	0.03598578823391159	0.04295813820233816	0.11510279465543143	0.17492793354379077	0.03221341630278577	0.6152922212079907	1.6495446503875102e-22	0.06246363429000144
12	0.03708237402790961	0.0447720187962768	0.10887284204105961	0.16072602026890898	0.03999178721187494	0.6304278447896758	2.154412058858396e-22	0.059981505688480624
13	0.03817895982190764	0.04666400216733468	0.10264288942668796	0.14652410699402724	0.04777015812096406	0.6455634683713609	2.670040260670317e-22	0.057499377086959846
14	0.03927554561590567	0.04862497230176841	0.09641293681231615	0.1323221937191454	0.055548529030053244	0.6606990919530462	3.1741619664116613e-22	0.05501724848543906
15	0.04037213140990369	0.050646916651641755	0.09018298419794439	0.11812028044426355	0.06332689993914237	0.6758347155347314	3.704657403603838e-22	0.052535119883918284
16	0.04146871720390172	0.05272282051621314	0.08395303158357285	0.10391836716938159	0.07110527084823157	0.6909703391164165	4.213622214307231e-22	0.05005299128239743
17	0.04256530299789975	0.05484655724790006	0.07772307896920097	0.08971645389449992	0.07888364175732068	0.7061059626981018	4.716230450149973e-22	0.0475708626808767
18	0.04366188879189778	0.05701278174765206	0.07149312635482928	0.07551454061961803	0.08666201266640985	0.721241586279787	5.237145051855398e-22	0.04508873407935591
19	0.0447584745858958	0.05921683143464793	0.06526317374045751	0.06131262734473647	0.09444038357549892	0.736377209861472	5.741432092242158e-22	0.042606605477835145
20	0.04585506037989383	0.061454636681128376	0.0590332211260858	0.047110714069854315	0.10221875448458818	0.7515128334431573	6.252632311820704e-22	0.04012447687631429
21	0.04695164617389186	0.063722641313393	0.05280326851171416	0.03290880079497241	0.10999712539367733	0.7666484570248425	6.766419275063169e-22	0.0376423482747935
22	0.04804823196788988	0.06601773295257168	0.0465733158973425	0.018706887520090715	0.11777549630276646	0.7817840806065276	7.29228936415713e-22	0.03516021967327272
23	0.04914481776188791	0.06833718251680174	0.04034336328297081	0.004504974245208787	0.12555386721185566	0.7969197041882129	7.79753538126954e-22	0.032678091071751916
24	0.05024140355588594	0.07068113397251372	0.02643611879943957	4.354732576583157e-21	0.1327711392573355	0.8104668250795977	2.720012130560903e-21	0.030325916863627327
25	0.05133798934988396	0.07305478944405247	0.008962181564961006	4.547250257435879e-21	0.13972773771068062	0.8232759642546541	2.841101932318004e-21	0.028034116469704374
26	0.05243457514388199	0.07545888851865705	-9.932785590335689e-23	-1.2861000944395846e-22	0.14822290931674303	0.8298977177725884	-1.1788351618492007e-22	0.021879372910668604
27	0.05353116093788002	0.07790915556939569	-1.0280094152063199e-22	-1.2940185006478925e-22	0.15833807243583833	0.8300046609711721	-1.185156437772793e-22	0.011657266592989568
28	0.05462774673187805	0.08040452112549727	-1.0197972372354262e-22	-1.2989644454926652e-22	0.16845323555493355	0.8301116041697558	-1.2118495909218042e-22	0.0014351602753105888
29	0.05572433252587607	0.08296230242717458	1.484926730860237e-23	1.3146371465004545e-23	0.1798035607001984	0.8201964392998017	1.647952196158866e-23	1.9384573237912237e-23
30	0.0568209183198741	0.08561172477819232	1.479796641160634e-23	1.1512057200381191e-23	0.19135562322554772	0.8086443767744522	1.5088851790688113e-23	1.2828690392361588e-23
31	0.05791750411387213	0.08834507942541737	5.589338178334741e-24	5.6819498912435615e-24	0.20290768575089713	0.7970923142491029	7.087600352706106e-24	3.249169015349903e-24
32	0.05901408990787015	0.09115481633779446	4.3626816504234565e-24	2.7914370309850093e-24	0.21445974827624636	0.7855402517237536	2.199841898452725e-24	-9.960508277514753e-25
33	0.06011067570186818	0.09403408886238095	1.7250859541872293e-23	1.2324177186888512e-23	0.22601181080159566	0.7739881891984044	1.4544950545625122e-23	1.6852047715606953e-23
34	0.06120726149586621	0.09697670358641121	9.753741052808727e-24	6.191353324659934e-24	0.23756387332694498	0.762436126673055	1.1137114669392967e-23	6.708621041474752e-24
35	0.06230384728986423	0.09997706763304544	-1.5767871703381892e-24	2.3058193348313626e-25	0.24911593585229433	0.7508840641477056	5.651060567351647e-26	-4.285697984887903e-24
36	0.06340043308386226	0.1030301359322883	1.1750029715316984e-23	1.2446496921334061e-23	0.2606679983776436	0.7393320016223563	1.1771446653649816e-23	9.245159679953421e-24
37	0.06449701887786029	0.10613136017057566	-3.174328273990663e-25	1.3553639163431503e-25	0.27222006090299294	0.727779939097007	-5.515714090682109e-25	-2.1824005777060083e-24
38	0.06559360467185832	0.10927664049006305	3.783270795639879e-24	2.950004356900785e-24	0.28377212342834235	0.7162278765716577	4.458728442525974e-24	3.470809351381218e-24
39	0.06669019046585634	0.11246228054614532	1.4391442679201116e-23	1.169089666185644e-23	0.29532418595369153	0.7046758140463084	1.2461151210498726e-23	1.4312912792994228e-23
40	0.06778677625985437	0.11568494620387171	7.498716628051562e-24	3.92270856002924e-24	0.3068762484790409	0.6931237515209592	4.0238871066340934e-24	6.150399721569176e-24
41	0.0688833620538524	0.11894162792921943	3.558230011831107e-24	3.703241956258427e-24	0.3184283110043903	0.6815716889956097	3.823637737192532e-24	9.744952339580414e-25
42	0.06997994784785042	0.12222960678338296	6.194293163657e-24	5.742849274446967e-24	0.3299803735297394	0.6700196264702606	1.4064419600010466e-24	1.0331577490871745e-23
43	0.07107653364184845	0.12554642383634576	1.2907744233548517e-23	1.0251198170903459e-23	0.3415324360550889	0.6584675639449111	1.3737049717242505e-23	4.3812485484832784e-24
44	0.07217311943584648	0.12888985276381415	7.751199019171998e-24	6.775348362531231e-24	0.3530844985804382	0.6469155014195618	9.347535369673711e-24	1.518577646214594e-23
45	0.0732697052298445	0.13225787536690353	9.552390511093755e-24	7.36385342440519e-24	0.3646365611057874	0.6353634388942125	3.87893306148684e-24	1.6636953202176118e-23
46	0.07436629102384254	0.13564865974776338	1.0719586787205777e-23	1.3198055629510449e-23	0.37618862363113686	0.6238113763688631	9.857549228597652e-24	7.730289976130372e-24
47	0.07546287681784056	0.13906054088011074	1.586515745172459e-23	2.0466930213036313e-23	0.38774068615648616	0.6122593138435138	1.8088006564690534e-23	1.760463576723709e-23
48	0.07655946261183859	0.14249200332678605	-8.56004168019429e-26	1.1166738305937538e-23	0.39929274868183556	0.6007072513181644	5.469182398887974e-24	9.466065773754588e-24
49	0.07765604840583662	0.14594166587373206	-5.594790237484097e-24	-3.792696878815776e-24	0.4108448112071849	0.589155188792815	-4.6191819927583836e-24	-3.955923214210466e-24
50	0.07875263419983464	0.14940826786903946	9.063312347530013e-24	9.721429971502741e-24	0.4223968737325341	0.5776031262674659	5.709990712928174e-24	8.891802676374329e-24
