date	AAPL	COST	HIMS	RTX	SPY	TSLA
2023-10-31	-0.002569841321410471	-0.02216099082210754	-0.0492845698981873	0.13088767302301463	-0.021708625272792936	-0.1973463537763216
2023-11-30	0.11378011745167793	0.07491810102736318	0.4866221262487771	0.008485333085434643	0.09134377285770445	0.19537943740621855
2023-12-29	0.013582490808935255	0.13893197919713685	0.0011247778201752823	0.032645760578438265	0.04565537434336986	0.03498831153123483
2024-01-31	-0.04222713796995248	0.05272079628981641	-0.03595502343145751	0.08295701442808467	0.015926452756150677	-0.24625725810339172
2024-02-29	-0.018543094216382783	0.07210395758844257	0.5198135288817713	-0.0094344101339503	0.05218691745251891	0.07790064669600238
2024-03-29	-0.051286376683144064	-0.01513670332084649	0.18634971719972837	0.08765467112118452	0.03270177637443128	-0.12923524353897475
2024-04-30	-0.006706317788891303	-0.011697090165511015	-0.1900452801105399	0.04091062903864007	-0.040319563141472115	0.042607689739043275
2024-05-31	0.1302221921064548	0.12033470181966632	0.5498803264291015	0.06834682249432267	0.050579763241138886	-0.02837187354253501
2024-06-28	0.09555260357500095	0.04951283585341204	0.03964986893607758	-0.0688247539033936	0.03528010238526291	0.11118599982126098
2024-07-31	0.054410934112870235	-0.03155303298334555	0.05200590437277852	0.17033577753680218	0.012109038346461487	0.17278149180183244
2024-08-30	0.03235355420680941	0.08562054445268474	-0.3064971892200318	0.055409141585727184	0.023365694906978707	-0.07739046902676983
2024-09-30	0.017467205936556596	-0.006566774189135316	0.25050920901097307	-0.017674721994007214	0.02100458893667101	0.22194201175563166
2024-10-31	-0.03042919963095303	-0.013919643120355096	0.022258406390549768	-0.001403069294370618	-0.008923456825649323	-0.045025412068364634
2024-11-29	0.05170699208293761	0.11323919489040946	0.7110993813727906	0.012305555049916483	0.059633408203408456	0.3814688622385134
2024-12-31	0.055155222964387685	-0.05721900362818366	-0.2495344696126579	-0.050151878925879245	-0.024060181740644615	0.17000808915631316
2025-01-31	-0.0575832459308947	0.06942283663115734	0.5417699879564108	0.11432765527670474	0.026856415559588065	0.0018819576379678349
2025-02-28	0.025872407000720132	0.07132366793215117	0.20949575185147884	0.03654960035336852	-0.01269487750556797	-0.2758773935575025
2025-03-31	-0.0815001347836245	-0.09806322206629103	-0.3446440643809898	-0.003985102515763228	-0.05571919842012785	-0.11543452131892018
2025-04-30	-0.043353014323267214	0.05151304321717887	0.12013534107331769	-0.04778817860078832	-0.008670139114213993	0.08874826236685496
2025-05-30	-0.05358406523857118	0.04729543494706179	0.7087614495665882	0.08757443834281542	0.06284494761614745	0.2278848417863253
2025-06-30	0.021508544579914357	-0.04829936801402124	-0.11863512617131133	0.06990035186444143	0.05138613494267763	-0.08312644606383923
2025-07-31	0.011697684229461602	-0.05081115716016393	0.3275827950031367	0.07909877885378558	0.023031548217528286	-0.02955995259140498
2025-08-29	0.11963891074454769	0.005307223742163858	-0.3600785995945516	0.01096970128471031	0.020519507582030583	0.08304410748975077
